Country.Name,year,GDP
Singapore,X1961,764308114.5
Solomon Islands,X1961,NA
Sierra Leone,X1961,327834680.6
El Salvador,X1961,NA
San Marino,X1961,NA
Somalia,X1961,NA
Serbia,X1961,NA
South Sudan,X1961,NA
Sao Tome and Principe,X1961,NA
Suriname,X1961,98400000
Slovakia,X1961,NA
Slovenia,X1961,NA
Sweden,X1961,16147160123
Swaziland,X1961,43025199.5
Sint Maarten,X1961,NA
Seychelles,X1961,11592024.36
Syria,X1961,945244992.2
Turks and Caicos Islands,X1961,NA
Chad,X1961,333975336.6
Togo,X1961,126396469.7
Thailand,X1961,3034043574
Tajikistan,X1961,NA
Turkmenistan,X1961,NA
Timor-Leste,X1961,NA
Tonga,X1961,NA
Trinidad and Tobago,X1961,584961208.7
Tunisia,X1961,NA
Turkey,X1961,8022222222
Tuvalu,X1961,NA
Tanzania,X1961,NA
Uganda,X1961,441524109
Ukraine,X1961,NA
Uruguay,X1961,1547388781
USA,X1961,5.63E+11
Uzbekistan,X1961,NA
St. Vincent and the Grenadines,X1961,13999883.33
Venezuela,X1961,9058121212
British Virgin Islands,X1961,NA
Virgin Islands (U.S.),X1961,25700000
Vietnam,X1961,NA
Vanuatu,X1961,NA
Samoa,X1961,NA
Kosovo,X1961,NA
Yemen,X1961,NA
South Africa,X1961,7972840543
Zambia,X1961,696285714.3
Zimbabwe,X1961,1096646600
Aruba,X1962,NA
Afghanistan,X1962,546666677.8
Angola,X1962,NA
Albania,X1962,NA
Andorra,X1962,NA
United Arab Emirates,X1962,NA
Argentina,X1962,24450604878
Armenia,X1962,NA
American Samoa,X1962,NA
Antigua and Barbuda,X1962,NA
Australia,X1962,19888005376
Austria,X1962,7756110210
Azerbaijan,X1962,NA
Burundi,X1962,213500006
Belgium,X1962,13264015675
Benin,X1962,236434906.8
Burkina Faso,X1962,379567178.3
Bangladesh,X1962,5081413340
Bulgaria,X1962,NA
Bahrain,X1962,NA
Bahamas,X1962,212254902
Bosnia and Herzegovina,X1962,NA
Belarus,X1962,NA
Belize,X1962,31856922.86
Bermuda,X1962,94149985.97
Bolivia,X1962,669722541.3
Brazil,X1962,19926293839
Barbados,X1962,NA
Brunei,X1962,NA
Bhutan,X1962,NA
Botswana,X1962,35643207.63
Central African Republic,X1962,124482748.9
Canada,X1962,41978852041
Switzerland,X1962,11879982759
Channel Islands,X1962,NA
Chile,X1962,5416272727
China,X1962,47209359006
Ivory Coast,X1962,645284344.7
Cameroon,X1962,699373701.2
Democratic Republic of the Congo,X1962,3779841429
Republic of Congo,X1962,166521239.9
Colombia,X1962,4968603736
Comoros,X1962,NA
Cape Verde,X1962,NA
Costa Rica,X1962,479180824.3
Cuba,X1962,NA
Curacao,X1962,NA
Cayman Islands,X1962,NA
Cyprus,X1962,NA
Czech Republic,X1962,NA
Germany,X1962,NA
Djibouti,X1962,NA
Dominica,X1962,NA
Denmark,X1962,7812968114
Dominican Republic,X1962,824100000
Algeria,X1962,2001468868
Ecuador,X1962,958598195
Egypt,X1962,NA
Eritrea,X1962,NA
Spain,X1962,16138545209
Estonia,X1962,NA
Ethiopia,X1962,NA
Finland,X1962,6340580854
Fiji,X1962,122906435
France,X1962,76313782252
Faroe Islands,X1962,NA
Micronesia,X1962,NA
Gabon,X1962,182796536.5
UK,X1962,80601939635
Georgia,X1962,NA
Ghana,X1962,1382515590
Gibraltar,X1962,NA
Guinea,X1962,NA
Gambia,X1962,NA
Guinea-Bissau,X1962,NA
Equatorial Guinea,X1962,9122751.453
Greece,X1962,5327573509
Grenada,X1962,NA
Greenland,X1962,NA
Guatemala,X1962,1143600000
Guam,X1962,NA
Guyana,X1962,194948375.4
"Hong Kong SAR, China",X1962,1612346412
Honduras,X1962,387750000
Croatia,X1962,NA
Haiti,X1962,NA
Hungary,X1962,NA
Indonesia,X1962,NA
Isle of Man,X1962,NA
India,X1962,41599070242
Ireland,X1962,2260349684
Iran,X1962,4693566416
Iraq,X1962,1954634836
Iceland,X1962,284916516.2
Israel,X1962,2.51E+09
Italy,X1962,50383891899
Jamaica,X1962,777712445.8
Jordan,X1962,NA
Japan,X1962,60723018684
Kazakhstan,X1962,NA
Kenya,X1962,868111400
Kyrgyzstan,X1962,NA
Cambodia,X1962,660000008.6
Kiribati,X1962,NA
St. Kitts and Nevis,X1962,12541562.15
South Korea,X1962,2813933900
Kuwait,X1962,NA
Laos,X1962,NA
Lebanon,X1962,NA
Liberia,X1962,191861800
Libya,X1962,NA
Saint Lucia,X1962,NA
Liechtenstein,X1962,NA
Sri Lanka,X1962,1434156379
Lesotho,X1962,41859162.82
Lithuania,X1962,NA
Luxembourg,X1962,741509480.8
Latvia,X1962,NA
"Macao SAR, China",X1962,NA
Saint Martin,X1962,NA
Morocco,X1962,2379606422
Monaco,X1962,NA
Moldova,X1962,NA
Madagascar,X1962,739286906.9
Maldives,X1962,NA
Mexico,X1962,1.52E+10
Marshall Islands,X1962,NA
Macedonia,X1962,NA
Mali,X1962,NA
Malta,X1962,NA
Myanmar,X1962,NA
Montenegro,X1962,NA
Mongolia,X1962,NA
Northern Mariana Islands,X1962,NA
Mozambique,X1962,NA
Mauritania,X1962,111148585.6
Mauritius,X1962,NA
Malawi,X1962,183116337.7
Malaysia,X1962,2001502679
Namibia,X1962,NA
New Caledonia,X1962,NA
Niger,X1962,531736492.9
Nigeria,X1962,4909302954
Nicaragua,X1962,NA
Netherlands,X1962,14647057370
Norway,X1962,6066976683
Nepal,X1962,574091101.2
Nauru,X1962,NA
New Zealand,X1962,6077496268
Oman,X1962,NA
Pakistan,X1962,4233095590
Panama,X1962,652120900
Peru,X1962,3286773188
Philippines,X1962,4399827768
Palau,X1962,NA
Papua New Guinea,X1962,261184037.4
Poland,X1962,NA
Puerto Rico,X1962,2094400000
North Korea,X1962,NA
Portugal,X1962,3668222358
Paraguay,X1962,NA
French Polynesia,X1962,NA
Qatar,X1962,NA
Romania,X1962,NA
Russia,X1962,NA
Rwanda,X1962,125000008
Saudi Arabia,X1962,NA
Sudan,X1962,1541666667
Senegal,X1962,857425916.2
Singapore,X1962,825885273.7
Solomon Islands,X1962,NA
Sierra Leone,X1962,342721579.8
El Salvador,X1962,NA
San Marino,X1962,NA
Somalia,X1962,NA
Serbia,X1962,NA
South Sudan,X1962,NA
Sao Tome and Principe,X1962,NA
Suriname,X1962,103500000
Slovakia,X1962,NA
Slovenia,X1962,NA
Sweden,X1962,17511477311
Swaziland,X1962,45927061.46
Sint Maarten,X1962,NA
Seychelles,X1962,12642026.57
Syria,X1962,1110565864
Turks and Caicos Islands,X1962,NA
Chad,X1962,357635713.9
Togo,X1962,132237441.6
Thailand,X1962,3308912797
Tajikistan,X1962,NA
Turkmenistan,X1962,NA
